<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ВТБ ао;W;09/12/19;00:00;0.04635;108579180000
ВТБ ао;W;16/12/19;00:00;0.0463;115819210000
ВТБ ао;W;23/12/19;00:00;0.04588;59487470000
ВТБ ао;W;30/12/19;00:00;0.04624;23768830000
ВТБ ао;W;06/01/20;00:00;0.0476;96276580000
ВТБ ао;W;13/01/20;00:00;0.048035;190970630000
ВТБ ао;W;20/01/20;00:00;0.048;336473020000
ВТБ ао;W;27/01/20;00:00;0.0464;163968770000
ВТБ ао;W;03/02/20;00:00;0.04809;155388980000
ВТБ ао;W;10/02/20;00:00;0.047885;122981970000
ВТБ ао;W;17/02/20;00:00;0.04796;79291080000
ВТБ ао;W;24/02/20;00:00;0.04333;241280530000
ВТБ ао;W;02/03/20;00:00;0.04122;232137550000
ВТБ ао;W;09/03/20;00:00;0.031575;437869840000
ВТБ ао;W;16/03/20;00:00;0.0315;518783480000
ВТБ ао;W;23/03/20;00:00;0.0311;400843430000
ВТБ ао;W;30/03/20;00:00;0.03208;361631860000
ВТБ ао;W;06/04/20;00:00;0.03659;467259190000
ВТБ ао;W;13/04/20;00:00;0.0343;346310100000
ВТБ ао;W;20/04/20;00:00;0.033705;236433650000
ВТБ ао;W;27/04/20;00:00;0.0349;162702120000
ВТБ ао;W;04/05/20;00:00;0.035375;150182870000
ВТБ ао;W;11/05/20;00:00;0.034215;105679420000
ВТБ ао;W;18/05/20;00:00;0.03467;138951380000
ВТБ ао;W;25/05/20;00:00;0.03631;158378410000
ВТБ ао;W;01/06/20;00:00;0.037595;209984010000
ВТБ ао;W;08/06/20;00:00;0.036745;124522780000
ВТБ ао;W;15/06/20;00:00;0.035255;166206130000
ВТБ ао;W;22/06/20;00:00;0.03515;102970090000
ВТБ ао;W;29/06/20;00:00;0.03567;79467250000
ВТБ ао;W;06/07/20;00:00;0.035235;122605690000
ВТБ ао;W;13/07/20;00:00;0.0348;109445270000
ВТБ ао;W;20/07/20;00:00;0.03795;366176760000
ВТБ ао;W;27/07/20;00:00;0.038755;236784220000
ВТБ ао;W;03/08/20;00:00;0.03672;483254530000
ВТБ ао;W;10/08/20;00:00;0.03772;198702390000
ВТБ ао;W;17/08/20;00:00;0.03636;137260630000
ВТБ ао;W;24/08/20;00:00;0.03595;146633700000
ВТБ ао;W;31/08/20;00:00;0.036065;54448940000
ГАЗПРОМ ао;W;03/09/18;00:00;148.8;86321890
ГАЗПРОМ ао;W;10/09/18;00:00;152.15;133442700
ГАЗПРОМ ао;W;17/09/18;00:00;158.64;204722100
ГАЗПРОМ ао;W;24/09/18;00:00;162.61;129465970
ГАЗПРОМ ао;W;01/10/18;00:00;170.5;188241380
ГАЗПРОМ ао;W;08/10/18;00:00;167;187219510
ГАЗПРОМ ао;W;15/10/18;00:00;161.32;117905370
ГАЗПРОМ ао;W;22/10/18;00:00;152.5;156065840
ГАЗПРОМ ао;W;29/10/18;00:00;153.71;91797470
ГАЗПРОМ ао;W;05/11/18;00:00;153.19;106503540
ГАЗПРОМ ао;W;12/11/18;00:00;153.16;128706290
ГАЗПРОМ ао;W;19/11/18;00:00;151.79;82241620
ГАЗПРОМ ао;W;26/11/18;00:00;161.29;203625230
ГАЗПРОМ ао;W;03/12/18;00:00;163;144908710
ГАЗПРОМ ао;W;10/12/18;00:00;155.4;104735410
ГАЗПРОМ ао;W;17/12/18;00:00;151.12;120286710
ГАЗПРОМ ао;W;24/12/18;00:00;153.5;65965620
ГАЗПРОМ ао;W;31/12/18;00:00;159.15;28741870
ГАЗПРОМ ао;W;07/01/19;00:00;161;73748400
ГАЗПРОМ ао;W;14/01/19;00:00;159.2;88844930
ГАЗПРОМ ао;W;21/01/19;00:00;162.82;100749960
ГАЗПРОМ ао;W;28/01/19;00:00;163.33;125627210
ГАЗПРОМ ао;W;04/02/19;00:00;159.8;77684200
ГАЗПРОМ ао;W;11/02/19;00:00;159.04;119078490
ГАЗПРОМ ао;W;18/02/19;00:00;154.64;87399240
ГАЗПРОМ ао;W;25/02/19;00:00;156.71;109400140
ГАЗПРОМ ао;W;04/03/19;00:00;151.9;74135610
ГАЗПРОМ ао;W;11/03/19;00:00;154.56;106851610
ГАЗПРОМ ао;W;18/03/19;00:00;152.29;111067340
ГАЗПРОМ ао;W;25/03/19;00:00;149.61;110957540
